UNITID,extra_pct_recommended,max_gain
110413,0.01,263.00716279049993
113698,0.05,5139.1265116278955
123554,0.08,16747.714530232595
144962,0.09,30783.161999999997
148627,0.09,175403.168
162760,0.02,1709.5841860465007
167996,0.01,4494.720000000001
175005,0.06,15472.848500000007
184694,0.09,39623.48640000001
206525,0.05,5587.114767441824
213507,0.09,61900.82446511648
220808,0.09,2545.959069767442
